,budget,popularity,revenue,runtime,market_share_genres,promedio_revenue_month,promedio_revenue_cast,promedio_revenue_crew,promedio_revenue_production_companies
2660,63934176.5114663,11.106,4190909.245642808,105.0,0.0315075603939175,91910688.15824017,4190909.245642808,65123252.25040598,4190909.245642808
2661,95901264.76719946,21.012,166854811.28001115,98.0,0.0315075603939175,63076230.05666705,128606516.91418836,166854811.28001115,166854811.28001115
2662,11987658.095899932,13.466,1435905.6620430856,95.0,0.0315075603939175,87242419.5314648,2395295.9560282966,8750271.584297422,103363350.47429048
2663,3995886.031966644,2.927,1669744.9126337736,93.0,0.0315075603939175,201237486.86604062,1669744.9126337736,5375949.573535864,1669744.9126337736
2664,2077860.7366226548,2.629,1293068.719944406,97.0,0.0068149486749427,203966349.12633517,1293068.719944406,18864586.82052484,11914139.047200983
2665,183810757.47046563,15.319,124077479.91972204,134.0,0.0068149486749427,232559979.0270753,140405717.54611227,318100047.9571374,229024145.14558807
2666,55942404.44753301,13.083,47763057.50148715,132.0,0.0068149486749427,63076230.05666705,116208310.20701528,98531383.81307383,256678100.51166594
2667,127868353.0229326,100.112,195899973.4073996,83.0,0.0077110867956255,203966349.12633517,204695147.67138013,219189617.52920747,563695115.4311917
2668,6251502.604756512,7.07,3887399.9964774633,137.0,0.1765382647813796,75051078.40614595,3887399.9964774633,3887399.9964774633,7808851.1266556885
2669,1719163.2163080408,61.18,31434002.319568746,105.0,0.1765382647813796,75051078.40614595,35713279.88773146,35713279.88773146,31434002.319568746
2670,22661696.942242354,19.778,102363991.60406975,82.0,0.1765382647813796,75051078.40614595,94668856.55773139,100063027.66564654,47221466.105495214
2671,37509015.62853907,16.77,36744145.84772276,110.0,0.1765382647813796,75051078.40614595,59356627.697920494,36744145.84772276,313733730.3202445
2672,71892279.95469989,15.549,158150331.6015547,115.0,0.1765382647813796,75051078.40614595,124948655.39775087,153781529.77377203,100623577.77846193
2673,78143782.5594564,18.298,138038627.2604195,115.0,0.1765382647813796,92037411.31436121,128606516.91418836,218101906.3219136,138038627.2604195
2674,39071891.2797282,20.306,88286154.74463601,101.0,0.1765382647813796,92037411.31436121,125350995.26989762,94541529.91933933,199886916.9293074
2675,43760518.23329558,22.17,91890546.09244484,102.0,0.1765382647813796,118736550.8626721,82675703.11944866,282697310.5529306,91890546.09244484
2676,81269533.86183466,19.506,58942103.20099298,104.0,0.1765382647813796,118736550.8626721,149771915.7566816,58942103.20099298,155294214.77609548
2677,93772539.07134768,23.157,115978293.61124168,136.0,0.1765382647813796,118736550.8626721,94041189.60992403,141919512.55626124,256678100.51166594
2678,56263523.442808606,16.618,69314982.35309082,109.0,0.1765382647813796,106972830.34683679,529009253.0593965,306526497.63402283,69314982.35309082
2679,78143782.5594564,15.803,66879451.63892548,98.0,0.1765382647813796,106972830.34683679,225364416.05063403,251853979.25718442,49174727.55074732
2680,23443134.76783692,11.729,35968342.18885074,97.0,0.1765382647813796,106972830.34683679,35968342.18885074,124159217.3679583,13494300.310350219
2681,4688626.953567384,2.964,92937.96347361268,109.0,0.1765382647813796,203966349.12633517,92937.96347361268,92937.96347361268,92937.96347361268
2682,93772539.07134768,32.931,275175783.15660614,110.0,0.1765382647813796,203966349.12633517,185852028.2061026,306526497.63402283,171238007.3962586
2683,118778549.49037372,10.722,369386693.2193558,108.0,0.1765382647813796,232559979.0270753,117716403.4738377,133104758.25091876,352977300.60026526
2684,117215673.8391846,14.554,79929616.48816852,116.0,0.1765382647813796,232559979.0270753,369587467.4101271,66336540.814762875,101851613.61915392
2685,214113964.21291053,45.68,383467919.956077,138.0,0.1765382647813796,232559979.0270753,180960752.24621028,139201370.88779765,593226900.7153279
2686,187545078.14269537,27.992,405059528.4429554,106.0,0.1765382647813796,232559979.0270753,287709332.0577433,320821857.91057175,157495102.9574587
2687,312575130.2378256,43.03,679850908.2672707,109.0,0.1765382647813796,185691009.3341934,283466332.19542134,286733177.7757319,173882999.32423982
2688,14190910.912797282,17.872,23290890.36202764,155.0,0.1765382647813796,185691009.3341934,46584983.87868201,23290890.36202764,23290890.36202764
2689,148473186.86296716,22.519,250215175.8381228,117.0,0.1765382647813796,185691009.3341934,262592090.95590067,457672593.24229205,256678100.51166594
2690,59389274.74518687,58.159,307905229.66031075,84.0,0.1765382647813796,185691009.3341934,116061545.31949618,155838082.85077646,87245141.19661456
2691,125030052.09513023,49.419,182299045.3366288,117.0,0.1765382647813796,91910688.15824017,53288337.355666436,147348178.29614294,290029337.03078157
2692,21880259.11664779,11.448,855413.418792299,90.0,0.1765382647813796,91910688.15824017,90443787.08872548,855413.418792299,69681356.10115328
2693,9377253.907134768,11.659,8035003.160121405,105.0,0.1765382647813796,91910688.15824017,8035003.160121405,8035003.160121405,8035003.160121405
2694,45323393.88448471,18.169,153451855.4056335,102.0,0.1765382647813796,63076230.05666705,116061545.31949618,155838082.85077646,199616717.61373496
2695,12903521.78976761,9.731,720451.2919338618,97.0,0.1765382647813796,87242419.5314648,273021791.0820348,720451.2919338618,6913303.335044173
2696,46886269.53567384,43.144,282723056.58650964,111.0,0.1765382647813796,87242419.5314648,171767639.30062547,211518091.8229653,103363350.47429048
2697,125030052.09513023,18.234,68666134.20911619,116.0,0.1765382647813796,201237486.86604062,117716403.4738377,309749381.26248837,256678100.51166594
2698,93772539.07134768,18.185,149141339.64698526,119.0,0.1765382647813796,182565449.76427466,244030306.69854027,318100047.9571374,256678100.51166594
2699,62515026.04756512,23.338,250971288.82666543,88.0,0.285459189790741,118736550.8626721,237817019.34967422,107481967.61569853,228308166.46423396
2700,280379.8918233296,1.355,2344313.476783692,140.0,0.285459189790741,106972830.34683679,2344313.476783692,2344313.476783692,2344313.476783692
