,budget,genres,popularity,production_companies,production_countries,revenue,runtime,spoken_languages,crew,cast,keywords,month,day,market_share_genres,people_vaccinated,people_fully_vaccinated,total_boosters,New_cases,New_deaths
120,5182016.971198514,4,8.945,1771,70,10684571.074636113,101.0,36,2232,220,214,4,16,0.0821475595717208,0.0,0.0,0.0,0.0,0.0
121,9616113.967172502,4,14.955,150,70,249302327.59536704,125.0,19,2167,36,824,8,1,0.0821475595717208,0.0,0.0,0.0,0.0,0.0
122,13355713.84329514,4,10.528,615,70,10684571.074636113,95.0,19,591,1837,1171,8,8,0.0821475595717208,0.0,0.0,0.0,0.0,0.0
123,69449711.98513474,4,2.25,871,70,130574673.97460516,118.0,19,2194,1337,945,12,25,0.0821475595717208,0.0,0.0,0.0,0.0,0.0
124,16293970.88882007,4,3.282,1518,70,55506346.732734606,120.0,19,1972,314,1153,12,25,0.0821475595717208,0.0,0.0,0.0,0.0,0.0
125,80134.28305977084,6,0.6,993,29,8013428.305977085,90.0,48,1637,211,441,2,2,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
126,4409362.213936204,6,13.707,1348,58,637153.0268937753,107.0,53,106,1398,904,3,7,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
127,26711427.68659028,6,11.528,1712,69,182981426.63858783,111.0,19,1272,1645,231,3,19,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
128,320537.1322390833,6,2.456,397,70,186979993.806132,88.0,19,712,1687,1268,4,29,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
129,11753028.182099724,6,9.667,1518,70,53.42285537318056,160.0,19,1974,503,284,6,11,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
130,14424170.950758751,6,9.383,447,70,26711427.68659028,93.0,19,2439,362,98,8,11,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
131,16026856.61195417,6,24.973,696,70,582209089.2709818,133.0,19,1626,862,840,11,18,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
132,58765140.91049862,6,14.952,896,69,1063072.0836419947,185.0,27,2195,1411,481,11,26,0.1778002775580348,0.0,0.0,0.0,0.0,0.0
133,16026856.61195417,9,11.177,2107,70,107773890.12018584,85.0,19,2475,2269,803,6,10,0.0193832814138861,0.0,0.0,0.0,0.0,0.0
134,37395998.76122639,10,47.895,2264,70,2514362714.995355,124.0,19,2256,1882,104,6,20,0.4534539579950926,0.0,0.0,0.0,0.0,0.0
135,1602685.661195417,10,8.777,409,70,1565572.8035676684,84.0,19,241,2042,1074,10,1,0.4534539579950926,0.0,0.0,0.0,0.0,0.0
136,956269.111179932,10,9.498,499,11,5342285.537318056,88.0,19,502,1684,866,10,10,0.4534539579950926,0.0,0.0,0.0,0.0,0.0
137,26711427.68659028,12,12.847,2107,69,223485684.6557077,113.0,19,248,1716,1002,5,21,0.0401942057842194,0.0,0.0,0.0,0.0,0.0
